Country,GDP,GDP Growth,Interest Rate,Inflation Rate,Jobless Rate,GovBudget,Debt/GDP,Current Account,Population
United States                                     ,25463,5.20,5.50,3.20,3.70,-5.80,129.00,-3.70,334.23
China                                             ,17963,1.30,3.45,-0.20,5.00,-7.40,77.10,2.20,1411.75
Euro Area                                         ,14041,-0.10,4.50,2.40,6.50,-3.60,90.90,-0.60,342.89
Japan                                             ,4231,-0.70,-0.10,3.30,2.50,-6.40,263.90,1.90,124.95
Germany                                           ,4072,-0.10,4.50,3.20,5.90,-2.50,66.10,4.40,84.40
India                                             ,3385,1.90,6.50,4.87,7.10,-6.44,89.26,-2.60,1373.76
United Kingdom                                    ,3071,0.00,5.25,4.60,4.20,-5.00,97.10,-5.60,67.79
France                                            ,2783,-0.10,4.50,3.40,7.40,-4.80,111.80,-2.00,67.84
Russia                                            ,2240,-0.80,15.00,7.50,3.00,-2.30,17.20,10.30,145.60
Canada                                            ,2140,-0.30,5.00,3.10,5.80,-3.60,107.00,-0.40,39.29
Italy                                             ,2010,0.10,4.50,0.76,7.80,-8.00,141.70,-1.50,58.98
Brazil                                            ,1920,0.10,12.25,4.82,7.60,-4.60,72.87,-2.92,214.83
Australia                                         ,1675,0.20,4.35,5.40,3.70,-1.40,22.30,1.20,26.27
South Korea                                       ,1665,0.60,3.50,3.30,2.50,-7.00,49.60,3.20,51.69
Mexico                                            ,1414,1.10,11.25,4.32,2.70,-3.40,49.60,-0.90,129.00
Spain                                             ,1398,0.30,4.50,3.20,11.84,-4.70,111.60,0.60,47.43
Indonesia                                         ,1319,1.60,6.00,2.86,5.32,-2.38,39.90,1.00,275.80
Saudi Arabia                                      ,1108,-3.20,6.00,1.60,4.90,2.50,30.00,13.80,32.18
Netherlands                                       ,991,-0.20,4.50,1.60,3.60,-0.10,50.10,9.30,17.59
Turkey                                            ,906,0.30,40.00,61.98,9.10,-0.90,31.70,-5.30,85.28
Switzerland                                       ,808,0.30,1.75,1.40,2.10,1.20,41.40,9.90,8.74
Taiwan                                            ,775,1.90,1.88,2.90,3.41,-0.50,28.20,14.80,23.26
Poland                                            ,688,1.50,5.75,6.50,5.00,-3.70,49.30,-2.40,37.65
Argentina                                         ,633,-2.84,133.00,142.70,6.20,-2.40,85.00,-0.70,46.24
Sweden                                            ,586,-0.29,4.00,6.50,7.40,1.10,32.90,4.80,10.45
Belgium                                           ,579,0.40,4.50,0.76,5.60,-3.50,104.30,-1.10,11.63
Norway                                            ,579,-0.50,4.25,4.00,3.60,26.00,37.40,30.20,5.43
Ireland                                           ,529,-1.90,4.50,5.10,4.80,1.70,44.40,10.80,5.15
Israel                                            ,522,0.70,4.75,3.70,3.10,0.60,60.90,2.50,9.56
United Arab Emirates                              ,508,2.00,5.40,3.81,2.75,12.50,38.30,11.70,9.44
Thailand                                          ,495,0.80,2.50,-0.44,0.99,-4.90,60.96,-0.50,66.09
Nigeria                                           ,477,9.70,18.75,27.33,4.10,-5.00,38.00,-0.30,218.50
Egypt                                             ,477,9.80,19.25,35.80,7.10,-6.20,87.20,-3.70,104.40
Austria                                           ,471,-0.50,4.50,5.40,6.50,-3.50,78.40,-0.20,9.10
Singapore                                         ,467,1.40,3.74,4.70,2.00,-0.30,167.80,19.30,5.64
Bangladesh                                        ,460,7.25,6.50,9.93,4.70,5.06,28.20,-4.10,171.30
Vietnam                                           ,409,6.88,4.50,3.45,2.30,-3.41,37.10,-0.90,99.50
South Africa                                      ,406,-0.20,8.25,5.90,31.90,-4.20,67.40,-0.50,62.03
Malaysia                                          ,406,2.60,3.00,1.80,3.40,-5.60,60.40,2.60,33.00
Philippines                                       ,404,3.30,6.50,4.10,4.20,-7.30,60.90,-4.40,111.60
Denmark                                           ,395,-0.10,3.60,0.10,2.50,3.30,29.80,13.40,5.87
Iran                                              ,389,,18.00,39.20,7.90,-4.00,34.00,4.70,84.70
Pakistan                                          ,377,5.79,22.00,29.20,6.30,-7.90,89.00,-0.70,235.82
Hong Kong                                         ,360,0.10,5.75,2.70,2.90,-5.00,38.40,10.70,7.35
Colombia                                          ,344,0.20,13.25,10.15,9.23,-4.30,63.60,-6.20,51.87
Chile                                             ,301,0.30,9.00,4.80,8.89,1.10,38.00,-9.00,19.96
Romania                                           ,301,0.90,7.00,8.07,5.40,-6.30,47.20,-9.10,19.04
Czech Republic                                    ,291,-0.50,7.00,8.50,3.50,-3.20,44.20,-6.10,10.53
Finland                                           ,281,-0.90,4.50,4.90,6.80,-0.80,73.30,-2.50,5.56
Iraq                                              ,264,,7.50,3.55,15.55,6.40,43.30,16.30,44.50
