symbol,name,current,chg,percent,current_year_percent,volume,amount,turnover_rate,pe_ttm,dividend_yield,market_capital
SH600519,贵州茅台,1663.02,-41.9,-2.46,-2.22,1825806,3050756138.0,0.15,29.344,1.557,2089082065356.0
SH600571,信雅达,18.2,1.11,6.5,97.4,119019341,2066409042.0,26.71,-672.047,1.401,8495683724.0
SH601127,赛力斯,77.97,-1.02,-1.29,94.97,23447799,1845217363.0,1.56,-34.501,,117531340361.0
SH600536,中国软件,38.02,-0.98,-2.51,-15.24,47513121,1838140271.0,5.68,2238.923,0.042,32687713098.0
SH601878,浙商证券,11.11,0.7,6.72,13.15,150276658,1670583366.0,3.87,23.61,2.693,43086698899.0
SH601138,工业富联,15.37,-0.39,-2.47,71.6,98983280,1527014830.0,0.5,14.022,3.583,305337991694.0
SH603598,引力传媒,19.99,0.99,5.21,115.41,65768033,1328046750.0,24.55,-56.036,,5354579371.0
SH600178,东安动力,16.05,0.81,5.31,167.75,70286556,1124314177.0,15.21,247.332,0.318,7631664255.0
SH603189,网达软件,20.18,-0.19,-0.93,45.87,54073782,1121776358.0,20.06,-88.71,0.494,5439485683.0
SH600777,新潮能源,2.99,0.02,0.67,37.16,374922213,1112318813.0,5.89,8.624,,20333482517.0
SH600036,招商银行,27.08,-0.42,-1.53,-23.31,40384864,1094077152.0,0.2,4.704,6.425,682953418875.0
SH603083,剑桥科技,42.71,-0.41,-0.95,279.98,24293042,1043211265.0,9.33,52.567,,11450762030.0
SH601360,三六零,9.27,-0.2,-2.11,41.74,110669461,1035846938.0,1.55,-111.341,1.08,66237516836.0
SH603178,圣龙股份,43.14,3.29,8.26,351.94,24021907,1011570117.0,10.16,208.534,0.278,10198808546.0
SH603019,中科曙光,40.93,-0.28,-0.68,86.09,23826750,973652791.0,1.64,36.508,0.733,59904287406.0
SH605577,龙版传媒,25.82,2.35,10.01,162.28,38924615,966407154.0,20.66,20.779,0.426,11475555570.0
SH601012,隆基绿能,20.29,-0.44,-2.12,-51.33,46680515,948767491.0,0.62,9.901,1.972,153758491009.0
SH600809,山西汾酒,219.13,-12.37,-5.34,-21.83,4168956,927904118.0,0.34,25.661,1.515,267330759967.0
SH603985,恒润股份,27.17,0.27,1.0,10.23,34114393,916957986.0,7.74,124.354,0.147,11978111942.0
SH601318,中国平安,38.64,-0.55,-1.4,-13.48,23237836,899896851.0,0.22,8.958,6.304,703643465214.0
SH601288,农业银行,3.53,-0.04,-1.12,29.24,240450500,847258823.0,0.08,4.58,6.289,1235440109572.0
SH600900,长江电力,22.6,-0.02,-0.09,11.88,36571198,821236478.0,0.16,24.95,3.774,552981720382.0
SH600028,中国石化,5.33,-0.14,-2.56,29.09,152956562,809771848.0,0.16,10.301,6.379,638873625713.0
SH603087,甘李药业,54.13,-3.23,-5.63,66.14,14201171,785332382.0,2.67,133.409,0.525,32161975528.0
SH603496,恒为科技,33.26,-1.53,-4.4,207.23,22760272,758678186.0,7.11,168.552,0.15,10650159422.0
